범죄대분류,범죄중분류,서울,부산,대구,인천,광주,대전,울산,세종,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성,강원 강릉,강원 동해,강원 삼척,강원 속초,강원 원주,강원 춘천,강원 태백,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안,전북 군산,전북 김제,전북 남원,전북 익산,전북 전주,전북 정읍,전남 광양,전남 나주,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 문경,경북 상주,경북 안동,경북 영주,경북 영천,경북 포항,경남 거제,경남 김해,경남 마산,경남 밀양,경남 사천,경남 양산,경남 진주,경남 창원,경남 통영,제주 서귀포,제주 제주,기타도시,도시이외
강력범죄,살인기수,67,20,13,17,11,8,12,2,8,2,1,4,0,1,2,5,0,7,4,6,9,8,0,2,1,1,2,7,0,0,3,3,1,4,1,7,1,1,0,0,5,3,0,2,4,1,0,0,3,0,3,0,5,4,0,0,0,3,4,0,0,0,2,1,4,1,3,3,0,1,1,2,1,0,1,2,1,0,1,0,2,4,7,2,0,11,7,30
강력범죄,살인미수등,96,41,23,34,7,16,11,1,9,0,1,8,3,1,3,6,3,13,6,7,6,12,2,6,2,3,2,5,0,7,2,4,6,3,0,8,4,1,0,1,5,3,0,5,15,1,0,2,3,1,5,1,4,8,6,0,0,5,7,1,3,1,0,1,2,2,4,2,1,0,0,0,0,2,7,1,7,0,5,5,6,0,13,2,1,16,4,44
강력범죄,방화,315,117,86,94,48,41,36,5,40,1,6,6,9,7,13,26,1,38,29,40,25,30,4,12,8,2,4,15,5,22,10,9,19,17,4,14,5,4,6,3,6,3,0,3,23,4,0,3,8,4,4,5,4,22,9,5,3,10,11,6,3,0,8,7,13,5,6,10,4,2,2,8,6,3,16,12,9,0,2,7,9,12,33,0,12,23,4,148
폭력범죄,폭행,36904,8852,6607,9774,5386,4054,4213,139,2268,118,1188,823,893,826,731,1573,422,3129,3149,4123,1465,3209,551,1720,747,313,826,1710,250,1901,668,1078,1636,566,378,1327,535,252,187,268,1048,706,99,247,2589,361,6,84,102,201,126,270,770,1394,893,229,166,824,1567,263,333,20,1214,842,837,477,472,746,300,185,115,368,167,144,1134,525,1463,0,136,252,613,698,2650,319,570,1919,363,5712
폭력범죄,체포감금,186,67,39,81,26,36,20,3,15,1,4,5,4,2,4,15,4,12,21,25,6,17,5,11,2,4,7,13,3,9,2,2,9,3,2,10,7,2,1,2,12,7,1,5,13,9,1,3,2,5,2,3,6,10,9,3,3,5,14,4,6,0,6,9,7,3,13,9,2,0,0,3,2,1,8,4,4,0,0,2,10,10,17,5,3,9,4,87
폭력범죄,협박,1844,682,443,433,297,286,175,29,170,9,73,61,36,43,49,101,18,167,170,272,94,242,43,83,47,26,34,115,19,109,29,74,95,39,19,89,69,26,5,18,45,49,5,19,124,38,3,20,14,28,7,9,46,94,50,17,9,38,74,25,20,4,73,48,53,55,35,48,10,10,17,30,10,16,76,36,92,1,17,15,49,58,160,26,56,234,44,547
폭력범죄,약취유인,45,6,6,12,5,4,1,1,3,0,0,2,2,0,0,6,0,5,1,10,1,1,2,0,1,1,1,5,0,1,9,9,3,2,0,1,0,0,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0,2,0,0,1,3,1,1,0,0,3,0,1,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,4,0,14
폭력범죄,폭력행위등,6725,2449,1595,1988,817,1045,906,71,462,10,144,220,183,131,171,395,114,591,577,1101,375,757,138,385,103,94,177,365,44,323,141,238,444,193,81,374,252,117,72,105,242,169,58,127,623,137,3,73,73,149,106,109,241,494,291,47,69,267,450,76,95,8,347,141,223,163,214,276,93,53,51,152,99,66,429,229,356,1,82,78,144,202,669,138,145,383,95,2477
폭력범죄,공갈,634,558,263,222,118,94,79,4,34,1,19,17,17,5,10,21,9,82,47,89,33,49,17,37,11,4,14,47,3,26,5,15,26,7,12,24,18,4,2,4,27,7,1,6,36,10,0,9,10,5,7,13,18,23,16,7,5,25,57,1,10,1,20,12,19,18,18,23,4,1,7,15,8,25,26,9,25,0,9,0,16,19,87,11,8,37,26,178
폭력범죄,손괴,11735,3639,3019,3365,1791,1804,1530,88,806,54,332,363,258,327,354,609,168,1158,1060,1497,649,1385,229,630,256,114,327,704,112,634,220,430,710,187,152,503,401,137,103,155,590,316,52,155,1120,303,15,79,105,152,74,196,322,798,274,95,82,334,498,89,118,13,434,254,354,420,235,581,147,67,67,206,101,87,551,344,604,0,105,129,323,286,1199,186,331,1018,144,3029
지능범죄,직권남용,98,28,14,12,10,14,12,2,7,0,1,1,0,2,1,3,0,5,7,12,3,4,1,6,0,3,2,2,3,2,0,3,4,0,0,3,2,1,1,2,3,1,1,1,7,3,0,3,1,0,0,1,1,4,0,1,1,3,7,0,2,0,1,1,0,1,2,1,2,2,0,2,0,1,4,1,3,0,0,2,5,3,4,1,2,10,2,40
교통범죄,교통범죄,74958,35841,39725,31163,23412,13556,16600,1056,11926,720,2740,3660,2151,2121,3726,4795,954,10467,8900,14715,7830,11372,2490,5909,2547,1687,2009,7716,1722,3670,2653,6218,7646,2677,2583,5902,2737,1519,1110,1436,6012,5008,594,1839,8972,3902,138,1230,1182,1943,1703,1767,2296,9104,3497,997,752,3202,6444,1115,2434,276,4699,4954,5083,2464,4839,8505,2121,1005,1160,1750,1644,1346,7475,4832,8691,2,1216,2517,3759,3351,12650,2936,3581,10857,2325,43877
